date,0x20231116,,,,,,,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
58,4147,225,917,1053,656,1506,149,5918,558,1817,299,2672,299,2672,2171,413,988,918,856,1084,248,3397,end
59,4061,227,877,1053,617,1502,149,5917,518,1815,359,2670,359,2670,2067,414,937,917,877,1082,238,3399,end
60,4351,224,868,1053,657,1499,149,5918,509,1811,349,2672,349,2672,2215,412,937,915,866,1080,297,3382,end
61,4121,225,917,1053,616,1499,150,5917,508,1808,349,2671,349,2671,2071,410,986,914,916,1079,247,3452,end
62,4101,225,819,1052,607,1493,139,5918,508,1807,299,2672,299,2672,2214,411,938,912,855,1075,248,3430,end
63,4165,225,918,1052,656,1493,183,5918,568,1800,359,2673,359,2673,2119,409,927,911,877,1074,238,3412,end
64,4271,224,858,1052,618,1488,149,5421,509,1797,349,2672,349,2672,2175,409,985,911,857,1071,297,3426,end
65,4179,222,876,1053,657,1485,149,5420,499,1794,299,2669,299,2669,2115,408,936,909,915,1073,248,3415,end
66,4176,222,918,1052,616,1484,199,5420,518,1793,359,2672,359,2672,2213,407,988,906,876,1070,248,3390,end
67,4212,220,818,1052,656,1482,149,5419,508,1788,298,2671,298,2671,2127,406,948,904,857,1066,288,3404,end
68,4219,222,917,1052,617,1478,145,5421,559,1783,349,2672,349,2672,2218,405,975,904,916,1065,248,3411,end
69,4372,221,869,1050,656,1473,189,4920,518,1781,349,2671,349,2671,2118,404,947,902,864,1062,247,3445,end
70,4209,219,918,1049,665,1473,149,4922,509,1777,309,2672,309,2672,2267,403,985,902,915,1063,238,3416,end
71,4239,220,869,1048,607,1467,199,4922,558,1773,349,2678,349,2678,2122,403,986,898,865,1060,297,3414,end
72,4256,217,869,1048,667,1464,199,4921,508,1770,299,2676,299,2676,2190,401,986,897,868,1055,248,3426,end
73,4428,218,867,1047,667,1459,149,4921,558,1766,349,2676,349,2676,2158,399,987,894,927,1054,247,3406,end
74,4228,219,918,1046,647,1456,189,4920,519,1760,359,2676,359,2676,2260,399,987,892,874,1053,237,3440,end
75,4225,217,867,1046,616,1454,180,4920,549,1754,299,2673,299,2673,2213,398,986,891,916,1049,297,3422,end
76,3985,217,918,1045,657,1450,199,4412,518,1754,349,2679,349,2679,2279,396,984,888,916,1046,245,3503,end
77,3999,216,866,1043,667,1448,199,4412,567,1748,359,2678,359,2678,2164,396,934,886,876,1045,248,3434,end
78,4133,216,867,1041,665,1446,199,4411,499,1743,299,2676,299,2676,2265,395,1036,884,908,1043,237,3439,end
79,4047,215,917,1040,656,1439,199,4411,568,1738,349,2677,349,2677,2226,394,987,882,916,1040,284,3480,end
80,3977,216,866,1040,667,1435,239,3914,508,1737,299,2677,299,2677,2280,394,986,881,917,1037,245,3495,end
81,4030,215,928,1035,666,1432,199,3913,558,1732,359,2677,359,2677,2208,393,987,878,909,1036,237,3425,end
82,4217,213,906,1034,646,1428,249,3914,558,1727,349,2679,349,2679,2325,392,987,877,917,1031,245,3486,end
83,4020,214,868,1031,667,1424,199,3913,519,1721,299,2680,299,2680,2208,392,984,877,916,1028,298,3416,end
84,4021,214,868,1029,666,1420,215,3912,558,1718,349,2679,349,2679,2311,391,986,874,915,1029,246,3455,end
85,4057,212,916,1028,657,1418,249,3415,559,1712,359,2684,359,2684,2218,389,1036,872,916,1025,237,3415,end
86,4159,211,918,1023,667,1415,249,3415,558,1708,299,2683,299,2683,2314,389,1037,869,915,1022,243,3494,end
87,4180,212,926,1023,707,1411,249,3415,518,1704,349,2679,349,2679,2256,388,986,868,918,1019,298,3429,end
88,4010,211,916,1020,666,1411,285,3415,558,1702,309,2680,309,2680,2312,387,1046,865,935,1017,245,3478,end
89,4091,211,853,1017,668,1406,289,2918,554,1696,349,2684,349,2684,2261,385,986,864,2170,432,237,3443,end
90,4101,211,927,1014,657,1405,290,2917,559,1690,349,2687,349,2687,2312,385,1034,861,2183,429,246,3450,end
91,4269,210,917,1012,667,1402,299,2917,568,1688,299,2688,299,2688,2258,384,986,859,2253,429,298,3427,end
92,4085,210,916,1011,708,1397,249,2919,557,1685,362,2687,362,2687,2369,383,1036,857,2181,427,245,3490,end
93,4158,210,915,1009,673,1394,310,2918,578,1632,399,2179,399,2179,2269,381,986,856,2210,428,266,3336,end
94,4137,209,961,1004,722,1302,349,2421,635,1457,407,2180,407,2180,2375,381,1058,854,2286,425,297,2962,end
95,4047,211,867,1002,799,1137,349,2420,725,1300,509,1721,509,1721,2263,380,2117,412,2171,426,297,2967,end
96,4327,208,976,1000,992,977,339,2420,814,1146,499,1721,499,1721,2407,380,2120,411,2167,426,292,3062,end
97,4160,207,901,997,1159,821,368,2421,948,997,808,1147,808,1147,2272,379,2131,410,2337,422,286,2957,end
98,4231,205,989,957,1447,670,349,1913,1106,856,758,1147,758,1147,2363,379,2118,410,3004,308,318,2942,end
99,4086,208,1173,799,1613,528,349,1914,1079,562,748,1148,748,1148,2325,378,2119,409,1765,307,340,2545,end
end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end
